X,Y,Party,MSP Name
-9.08803213504,1.36566554375,Scottish National Party,Clare Adamson
-9.62631066454,1.59197627124,Scottish National Party,Alasdair Allan
18.4228353988,18.0393760593,Scottish National Party,Christian Allard
11.2619402551,13.204417249,Scottish Labour,Jackie Baillie
6.99161622228,-8.6993253424,Scottish Labour,Claire Baker
8.1237894003,-6.56501484868,Scottish Labour,Richard Baker
6.53823875495,-8.83212784448,Scottish Labour,Jayne Baxter
14.1448026958,9.01463149754,Scottish Labour,Claudia Beamish
5.79974209282,-7.4432634579,Scottish National Party,Colin Beattie
-8.97082294324,1.37079830425,Scottish National Party,Marco Biagi
-9.28781803199,1.16730452724,Scottish Labour,Neil Bibby
5.96387574053,-9.24955636599,Scottish Labour,Sarah Boyack
5.70034563933,-7.86263049544,Scottish National Party,Chic Brodie
-8.28595874867,1.98715166097,Scottish National Party,Keith Brown
-7.77717430444,2.28539729796,Scottish Conservative and Unionist Party,Gavin Brown
5.68606073983,-3.43919569281,Scottish Conservative and Unionist Party,Cameron Buchanan
15.3798402041,12.4635894002,Scottish National Party,Margaret Burgess
-9.54282716598,1.17436814317,Scottish National Party,Roderick Campbell
-9.36735700361,1.5560018178,Scottish National Party,Aileen Campbell
-9.68442624365,1.32244909105,Scottish Conservative and Unionist Party,Jackson Carlaw
7.26741021974,-0.168168575498,Scottish Labour,Malcolm Chisholm
3.90869044988,-11.0335508972,Scottish National Party,Willie Coffey
-9.47323247464,1.15847276564,Scottish National Party,Angela Constance
-8.35430248264,2.30309901896,Scottish National Party,Bruce Crawford
-8.74532284638,1.26215298437,Scottish National Party,Roseanna Cunningham
-7.81337504658,2.95360423037,Scottish Conservative and Unionist Party,Ruth Davidson
6.28295085122,-1.54500291154,Scottish National Party,Graeme Dey
-9.94246413148,1.23402094687,Scottish National Party,Nigel Don
-9.55959994005,1.65379712332,Scottish National Party,Bob Doris
-9.04816937503,1.31188128356,Scottish National Party,James Dornan
-6.82374340351,2.27891441288,Scottish Labour,Kezia Dugdale
5.52104423584,-9.68809679539,Scottish National Party,Jim Eadie
-9.70529478278,1.3341310411,Scottish National Party,Fergus Ewing
-1.98597379112,5.94088537659,Scottish National Party,Annabelle Ewing
