x,y
-362991.626505,573858.511957
-353855.322972,557662.845675
-346930.665187,542592.99648
-358945.405149,566926.141498
-351320.603973,550965.525048
-358668.049222,566326.497322
-343505.320841,538867.800928
-357775.114784,564650.154329
-343063.538637,536362.524825
-361645.207232,571257.098201
-353338.696162,554775.761994
-349494.142193,549641.036557
-354254.052314,556945.349031
-353335.324045,556901.72316
-348227.15075,544879.861061
-354679.614919,558704.819782
-359745.317543,567191.264887
-359303.17114,567193.710356
-360716.322532,569909.579392
-358209.764989,565568.07191
-342132.070193,535516.330501
-356120.221781,562223.9683
-343180.845286,536337.722437
-350359.817389,552230.424051
-356050.384523,561132.290228
-359106.136325,566855.856738
-346884.024479,544647.011433
-357462.771716,564407.783151
-343250.895703,536718.791494
-356100.472492,561778.569569
-342622.639477,535954.70528
-347497.45889,546061.875538
-352305.656529,553459.996211
-350414.290325,551051.341208
-354015.268582,557145.22865
-357250.700691,563081.57252
-347962.160884,547321.363943
-351314.079676,551164.931608
-347663.142089,546367.782135
-352564.322038,554062.784625
-355370.838985,559573.941201
-361013.492398,569239.984494
-355472.09666,560589.012605
-346062.657527,541333.942689
-354249.788406,558565.367189
-350822.598411,550401.450691
-346162.186868,542448.617264
-356164.450214,561765.080234
-347232.945009,544249.002775
-363310.524958,574172.90152
-353941.828865,557638.100071
-348938.336946,546549.893115
-352766.274911,555139.582904
-349638.924571,547899.921054
-350386.409651,551109.041686
-357035.074938,562550.251848
-359081.587205,566987.733543
-340143.447994,532711.464013
-354610.472879,559882.492388
-355372.345351,559704.38413
-343284.551612,538437.382284
-355461.683216,559805.864565
-352783.179485,553800.557393
-361910.521525,572131.975142
-346744.108339,544578.933565
-353993.707351,556156.152593
-347040.206842,545322.164827
-355910.384166,561407.011846
-352463.471979,553724.855856
-352476.878783,554503.723524
-354802.931343,558825.078684
-351439.554108,551005.742862
-349174.983831,549653.835307
-359057.452341,566879.037077
-364608.068372,576433.190011
-352591.863505,555665.661221
-349779.789086,548248.503549
-349163.386177,548789.304389
-359722.655471,567265.806122
-360845.650726,570309.309267
-362584.983855,573155.460123
-363772.340396,575687.838988
-363986.642908,575490.34491
-363414.077563,574569.275069
-353249.750446,556157.031125
-359515.871134,568088.641443
-365300.251374,578473.266986
-351812.260764,554043.199692
-356882.539314,562853.500451
-357644.531768,564180.995424
-355547.313178,559261.997087
-362654.154673,573313.162601
-363477.362439,574559.63604
-362930.721576,573864.586049
-362761.410684,573413.648922
-361203.154232,570613.512465
-362289.915253,573106.234766
-363280.450881,574193.633535
-363355.497101,575455.977335
-362501.893577,572961.781295
-362217.25439,572144.450489
-360830.414563,570561.972806
-362644.300952,573281.300238
-362936.406944,573758.210949
-366559.482233,580874.44088
-367251.638219,581554.551991
-366562.064026,580316.104031
-366762.197052,580949.943327
-366813.542441,580859.660111
-366982.217796,581145.651896
-366602.4261,581134.130414
-366535.8097,580804.883653
-366880.314449,580979.619682
-366752.24861,581237.357033
4744506.15158,-958043.199272
-2503696.83091,-6588843.91882
7419615.88377,-1832575.82203
-2678174.25446,-7275509.82301
7051797.40711,-1729876.83694
-2564707.58832,-6853947.1991
7686603.27425,-1917140.51165
-2779036.57715,-7536418.92754
7835081.02568,-1909530.05171
-2677200.67572,-7188832.02558
7970665.94127,-1944905.91271
-2694441.24143,-7271592.32866
8103252.66068,-1990278.20071
-2581829.74202,-6899157.02414
8237353.08742,-2030552.07945
