X,Y,Party,MSP Name
11.7357961534,-4.1745821436,Scottish National Party,Clare Adamson
9.44686302625,-5.62298353929,Scottish National Party,Alasdair Allan
-23.5617839211,-17.5637495814,Scottish National Party,Christian Allard
-5.50160431861,9.14509683951,Scottish Labour,Jackie Baillie
-7.66312752136,8.82598420759,Scottish Labour,Claire Baker
-5.19665287733,9.55760083461,Scottish Labour,Richard Baker
-28.5826967191,-9.06606792016,Scottish Labour,Jayne Baxter
-5.57561833563,9.51943515411,Scottish Labour,Claudia Beamish
11.6761708482,-4.68409148477,Scottish National Party,Colin Beattie
11.8559757315,-3.75075377581,Scottish National Party,Marco Biagi
-3.75722350688,12.0748967068,Scottish Labour,Neil Bibby
-5.47536988646,11.1797011599,Scottish Labour,Sarah Boyack
10.3214399738,-4.60204462607,Scottish National Party,Chic Brodie
9.27178342122,-5.07708177959,Scottish National Party,Keith Brown
-1.53713102929,2.68242840764,Scottish Conservative and Unionist Party,Gavin Brown
-30.415981511,-14.7388329563,Scottish Conservative and Unionist Party,Cameron Buchanan
12.352674192,-3.77907418351,Scottish National Party,Margaret Burgess
10.9818058363,-3.58541642201,Scottish National Party,Roderick Campbell
10.4573511208,-3.59971884148,Scottish National Party,Aileen Campbell
-7.62557698852,-0.267411334797,Scottish Conservative and Unionist Party,Jackson Carlaw
0.82248277876,13.4374375358,Scottish Labour,Malcolm Chisholm
12.5642950684,-3.52375750288,Scottish National Party,Willie Coffey
8.57906682971,-4.91695575014,Scottish National Party,Angela Constance
9.84626521549,-3.59735094537,Scottish National Party,Bruce Crawford
7.33036709581,-3.92091529235,Scottish National Party,Roseanna Cunningham
-7.12122924015,1.36896227282,Scottish Conservative and Unionist Party,Ruth Davidson
12.4185660509,-3.39107314919,Scottish National Party,Graeme Dey
10.955153194,-3.98494320901,Scottish National Party,Nigel Don
11.8944175142,-4.24292312046,Scottish National Party,Bob Doris
8.54555288947,-4.32077042635,Scottish National Party,James Dornan
-4.07270741872,11.0795622176,Scottish Labour,Kezia Dugdale
12.5451090111,-3.58999656021,Scottish National Party,Jim Eadie
-1.60395985714,-8.65271437039,Scottish National Party,Fergus Ewing
11.7631061278,-3.75346431218,Scottish National Party,Annabelle Ewing
8.69047928415,-4.58306076668,Scottish National Party,Linda Fabiani
-1.30385391918,13.0647763674,Scottish Labour,Mary Fee
-6.08657915255,11.323984965,Scottish Labour,Patricia Ferguson
-4.62811138302,1.6684772801,Scottish Conservative and Unionist Party,Alex Fergusson
-3.78559269161,12.4888771773,Scottish Labour,Neil Findlay
7.71872226122,-2.83917180089,Independent,John Finnie
11.9748718485,-3.4468617438,Scottish National Party,Joe FitzPatrick
-2.24655238885,4.18739264126,Scottish Conservative and Unionist Party,Murdo Fraser
11.2392592998,-4.01229380977,Scottish National Party,Kenneth Gibson
11.7991148771,-3.0142377676,Scottish National Party,Rob Gibson
-7.97720787189,0.40022651658,Scottish Conservative and Unionist Party,Annabel Goldie
9.50992889853,-4.19344792226,Scottish National Party,Christine Grahame
-4.4565846004,11.2813034476,Scottish Labour,Rhoda Grant
-3.49323138323,12.3347934422,Scottish Labour,Iain Gray
-3.35077270328,12.3052829657,Scottish Labour,Mark Griffin
1.65608759817,2.6322174894,Scottish Green Party,Patrick Harvie
-7.44514653607,7.21537542993,Scottish Labour,Hugh Henry
9.58848766136,-4.42283897354,Scottish National Party,Jamie Hepburn
-32.4930823403,-13.1761482836,Scottish Labour,Cara Hilton
1.05824641023,3.89457277593,Scottish Liberal Democrats,Jim Hume
4.3661040124,-6.33554934977,Scottish National Party,Fiona Hyslop
5.51395906359,-6.0023220623,Scottish National Party,Adam Ingram
1.81682450036,3.25269656546,Scottish Green Party,Alison Johnstone
0.0937262480803,4.30829628431,Scottish Conservative and Unionist Party,Alex Johnstone
12.8400053214,-3.36939263982,Scottish National Party,Colin Keir
-5.46492274001,9.78654066382,Scottish Labour,James Kelly
7.69105374618,-3.86282379575,Scottish National Party,Bill Kidd
-8.0206807659,8.54831582807,Scottish Labour,Johann Lamont
-6.66789950034,1.33137816314,Scottish Conservative and Unionist Party,John Lamont
5.94223322103,-5.13078099697,Scottish National Party,Richard Lochhead
11.6312992831,-3.0971479358,Scottish National Party,Richard Lyle
12.3868546224,-3.49249910799,Scottish National Party,Kenny MacAskill
-5.60474131283,9.99534635434,Scottish Labour,Lewis Macdonald
10.15854899,-3.75163394983,Scottish National Party,Angus MacDonald
10.7479941195,-4.33464656505,Scottish National Party,Gordon MacDonald
-3.20169427759,12.024664861,Scottish Labour,Ken Macintosh
9.82967385062,-4.19221023091,Scottish National Party,Derek Mackay
12.6574509015,-3.7360274849,Scottish National Party,Mike MacKenzie
-4.91634715755,10.0057129151,Scottish Labour,Hanzala Malik
-3.58294137369,11.734031356,Scottish Labour,Jenny Marra
0.259707567066,13.1027746121,Scottish Labour,Paul Martin
-44.1612386549,-17.320567607,No Party Affiliation,Tricia Marwick
12.6651879757,-3.6633719809,Scottish National Party,John Mason
7.34879583051,-5.30781139203,Scottish National Party,Michael Matheson
3.89894390392,-7.14408680156,Scottish National Party,Stewart Maxwell
10.0524366417,-3.91679514937,Scottish National Party,Joan McAlpine
-2.56494174489,3.33125093296,Scottish Liberal Democrats,Liam McArthur
-6.90399406043,11.3997444467,Scottish Labour,Margaret McCulloch
9.71440364405,-4.77747026833,Scottish National Party,Mark McDonald
-3.74765623714,11.0113277942,Scottish Labour,Margaret McDougall
-5.81388726391,2.03932079189,Scottish Conservative and Unionist Party,Jamie McGrigor
-1.98475883114,1.98774249327,Scottish Liberal Democrats,Alison McInnes
10.7147400863,-3.66125980813,Scottish National Party,Christina McKelvie
11.4406082317,-3.43672327931,Scottish National Party,Aileen McLeod
6.61116050092,-4.87601167114,Scottish National Party,Fiona McLeod
-2.76452815967,12.581315332,Scottish Labour,Siobhan McMahon
-3.47556910395,10.735423922,Scottish Labour,Michael McMahon
10.9776569022,-4.69409984133,Scottish National Party,Stuart McMillan
-12.4665635469,7.88266890777,Scottish Labour,Duncan McNeil
-2.69275705984,11.1501208077,Scottish Labour,Anne McTaggart
-5.16125092424,1.22390881918,Scottish Conservative and Unionist Party,Nanette Milne
-7.06566053968,1.65738038358,Scottish Conservative and Unionist Party,Margaret Mitchell
-2.50661467948,12.0085396619,Scottish Labour,Elaine Murray
6.58049734598,-5.75593068454,Scottish National Party,Alex Neil
10.8065152215,-3.47456419795,Scottish National Party,Gil Paterson
-4.4540324142,11.0103873119,Scottish Labour,Graeme Pearson
-0.917660402221,13.6445085669,Scottish Labour,John Pentland
-0.800533798022,5.3391809628,Scottish Liberal Democrats,Willie Rennie
9.64624442782,-4.98124278233,Scottish National Party,Dennis Robertson
0.795347445831,-6.01143267318,Scottish National Party,Shona Robison
-37.5650636901,-16.0806318309,Scottish Labour,Alex Rowley
4.48175179179,-6.08953357569,Scottish National Party,Michael Russell
-4.28328631192,-9.90377352005,Scottish National Party,Alex Salmond
-1.29911304096,4.07035558524,Scottish Conservative and Unionist Party,Mary Scanlon
-4.12649090068,1.80057162818,Scottish Conservative and Unionist Party,John Scott
-16.493249496,-4.7333055677,Scottish Liberal Democrats,Tavish Scott
-13.2884105068,5.60518806654,Scottish Labour,Richard Simpson
-2.53520499813,1.91711888527,Scottish Conservative and Unionist Party,Liz Smith
-3.29680026838,13.1889720766,Scottish Labour,Drew Smith
-5.96353238674,9.97989474797,Scottish Labour,Elaine Smith
8.99539079681,-4.68191452027,Scottish National Party,Stewart Stevenson
12.2641742078,-4.32114805014,Scottish National Party,Kevin Stewart
-5.80608746576,9.40347862674,Scottish Labour,David Stewart
